ID_EVENTO,VAR,StationUse
536,ESOL,13075030
536,RAIN,13075030
536,RHUM,13075030
536,TMAX,13075030
536,TMIN,13075030
537,ESOL,13075030
537,RAIN,13075030
537,RHUM,13075030
537,TMAX,13075030
537,TMIN,13075030
539,ESOL,13075030
539,RAIN,13075030
539,RHUM,13075030
539,TMAX,13075030
539,TMIN,13075030
540,ESOL,13075030
540,RAIN,13075030
540,RHUM,13075030
540,TMAX,13075030
540,TMIN,13075030
542,ESOL,13075030
542,RAIN,13075030
542,RHUM,13075030
542,TMAX,13075030
542,TMIN,13075030
543,ESOL,13075030
543,RAIN,13075030
543,RHUM,13075030
543,TMAX,13075030
543,TMIN,13075030
549,ESOL,13075030
549,RAIN,13075030
549,RHUM,13075030
549,TMAX,13075030
549,TMIN,13075030
559,ESOL,13075030
559,RAIN,13075030
559,RHUM,13075030
559,TMAX,13075030
559,TMIN,13075030
560,ESOL,13075030
560,RAIN,13075030
560,RHUM,13075030
560,TMAX,13075030
560,TMIN,13075030
617,ESOL,13075030
617,RAIN,13075030
617,RHUM,13075030
617,TMAX,13075030
617,TMIN,13075030
789,ESOL,13075030
789,RAIN,13075030
789,RHUM,13075030
789,TMAX,13075030
789,TMIN,13075030
791,ESOL,13085010
791,RAIN,13085010
791,RHUM,13085010
791,TMAX,13085010
791,TMIN,13085010
805,ESOL,13075030
805,RAIN,13075030
805,RHUM,13075030
805,TMAX,13075030
805,TMIN,13075030
807,ESOL,13075030
807,RAIN,13075030
807,RHUM,13075030
807,TMAX,13075030
807,TMIN,13075030
814,ESOL,13075030
814,RAIN,13075030
814,RHUM,13075030
814,TMAX,13075030
814,TMIN,13075030
818,ESOL,13075030
818,RAIN,13075030
818,RHUM,13075030
818,TMAX,13075030
818,TMIN,13075030
820,ESOL,13075030
820,RAIN,13075030
820,RHUM,13075030
820,TMAX,13075030
820,TMIN,13075030
821,ESOL,13075030
821,RAIN,13075030
821,RHUM,13075030
821,TMAX,13075030
821,TMIN,13075030
824,ESOL,13075030
824,RAIN,13075030
824,RHUM,13075030
824,TMAX,13075030
824,TMIN,13075030
825,ESOL,13085010
825,RAIN,13085010
825,RHUM,13085010
825,TMAX,13085010
825,TMIN,13085010
827,ESOL,13085010
827,RAIN,13085010
827,RHUM,13085010
827,TMAX,13085010
827,TMIN,13085010
828,ESOL,13075030
828,RAIN,13075030
828,RHUM,13075030
828,TMAX,13075030
828,TMIN,13075030
834,ESOL,13075030
834,RAIN,13075030
834,RHUM,13075030
834,TMAX,13075030
834,TMIN,13075030
836,ESOL,13075030
836,RAIN,13075030
836,RHUM,13075030
836,TMAX,13075030
836,TMIN,13075030
1799,ESOL,13075030
1799,RAIN,13075030
1799,RHUM,13075030
1799,TMAX,13075030
1799,TMIN,13075030
2007,ESOL,13085010
2007,RAIN,13085010
2007,RHUM,13085010
2007,TMAX,13085010
2007,TMIN,13085010
2008,ESOL,13075030
2008,RAIN,13075030
2008,RHUM,13075030
2008,TMAX,13075030
2008,TMIN,13075030
2010,ESOL,13075030
2010,RAIN,13075030
2010,RHUM,13075030
2010,TMAX,13075030
2010,TMIN,13075030
2012,ESOL,13085010
2012,RAIN,13085010
2012,RHUM,13085010
2012,TMAX,13085010
2012,TMIN,13085010
2013,ESOL,13075030
2013,RAIN,13075030
2013,RHUM,13075030
2013,TMAX,13075030
2013,TMIN,13075030
2014,ESOL,13085010
2014,RAIN,13085010
2014,RHUM,13085010
2014,TMAX,13085010
2014,TMIN,13075030
2017,ESOL,13085010
2017,RAIN,13085010
2017,RHUM,13085010
2017,TMAX,13085010
2017,TMIN,13085010
2020,ESOL,13075030
2020,RAIN,13075030
2020,RHUM,13075030
2020,TMAX,13075030
2020,TMIN,13075030
2021,ESOL,13075030
2021,RAIN,13075030
2021,RHUM,13075030
2021,TMAX,13075030
2021,TMIN,13075030
2031,ESOL,13075030
2031,RAIN,13075030
2031,RHUM,13075030
2031,TMAX,13075030
2031,TMIN,13075030
2044,ESOL,13075030
2044,RAIN,13075030
2044,RHUM,13075030
2044,TMAX,13075030
2044,TMIN,13075030
2045,ESOL,13075030
2045,RAIN,13075030
2045,RHUM,13075030
2045,TMAX,13075030
2045,TMIN,13075030
2046,ESOL,13085010
2046,RAIN,13085010
2046,RHUM,13085010
2046,TMAX,13085010
2046,TMIN,13085010
2047,ESOL,13085010
2047,RAIN,13085010
2047,RHUM,13085010
2047,TMAX,13085010
2047,TMIN,13085010
2051,ESOL,13075030
2051,RAIN,13075030
2051,RHUM,13075030
2051,TMAX,13075030
2051,TMIN,13075030
2052,ESOL,13075030
2052,RAIN,13075030
2052,RHUM,13075030
2052,TMAX,13075030
2052,TMIN,13075030
2053,ESOL,13075030
2053,RAIN,13075030
2053,RHUM,13075030
2053,TMAX,13075030
2053,TMIN,13075030
2057,ESOL,13085010
2057,RAIN,13085010
2057,RHUM,13085010
2057,TMAX,13085010
2057,TMIN,13085010
2063,ESOL,13085010
2063,RAIN,13085010
2063,RHUM,13085010
2063,TMAX,13085010
2063,TMIN,13085010
2064,ESOL,13075030
2064,RAIN,13075030
2064,RHUM,13075030
2064,TMAX,13075030
2064,TMIN,13075030
2065,ESOL,13085010
2065,RAIN,13085010
2065,RHUM,13085010
2065,TMAX,13085010
2065,TMIN,13085010
2066,ESOL,13085010
2066,RAIN,13085010
2066,RHUM,13085010
2066,TMAX,13085010
2066,TMIN,13085010
2067,ESOL,13075030
2067,RAIN,13075030
2067,RHUM,13075030
2067,TMAX,13075030
2067,TMIN,13075030
2068,ESOL,13085010
2068,RAIN,13085010
2068,RHUM,13085010
2068,TMAX,13085010
2068,TMIN,13085010
2069,ESOL,13075030
2069,RAIN,13075030
2069,RHUM,13075030
2069,TMAX,13075030
2069,TMIN,13075030
2070,ESOL,13085010
2070,RAIN,13085010
2070,RHUM,13085010
2070,TMAX,13085010
2070,TMIN,13085010
2071,ESOL,13085010
2071,RAIN,13085010
2071,RHUM,13085010
2071,TMAX,13085010
2071,TMIN,13085010
2072,ESOL,13085010
2072,RAIN,13085010
2072,RHUM,13085010
2072,TMAX,13085010
2072,TMIN,13085010
2073,ESOL,13085010
2073,RAIN,13085010
2073,RHUM,13085010
2073,TMAX,13085010
2073,TMIN,13085010
2074,ESOL,13085010
2074,RAIN,13085010
2074,RHUM,13085010
2074,TMAX,13085010
2074,TMIN,13085010
2076,ESOL,13075030
2076,RAIN,13075030
2076,RHUM,13075030
2076,TMAX,13075030
2076,TMIN,13075030
2077,ESOL,13075030
2077,RAIN,13075030
2077,RHUM,13075030
2077,TMAX,13075030
2077,TMIN,13075030
2079,ESOL,13075030
2079,RAIN,13075030
2079,RHUM,13075030
2079,TMAX,13075030
2079,TMIN,13075030
2080,ESOL,13075030
2080,RAIN,13075030
2080,RHUM,13075030
2080,TMAX,13075030
2080,TMIN,13075030
2081,ESOL,13075030
2081,RAIN,13075030
2081,RHUM,13075030
2081,TMAX,13075030
2081,TMIN,13075030
2082,ESOL,13075030
2082,RAIN,13075030
2082,RHUM,13075030
2082,TMAX,13075030
2082,TMIN,13075030
2083,ESOL,13075030
