"Dates"	"Value"	"Modif"
2011-01-01	84	"NO"
2011-01-02	82	"NO"
2011-01-03	80	"NO"
2011-01-04	83	"NO"
2011-01-05	83	"NO"
2011-01-06	79	"NO"
2011-01-07	84	"NO"
2011-01-08	87	"NO"
2011-01-09	83	"NO"
2011-01-10	84	"NO"
2011-01-11	87	"NO"
2011-01-12	83	"NO"
2011-01-13	83	"NO"
2011-01-14	82	"NO"
2011-01-15	83	"NO"
2011-01-16	80	"NO"
2011-01-17	82	"NO"
2011-01-18	84	"NO"
2011-01-19	81	"NO"
2011-01-20	83	"NO"
2011-01-21	83	"NO"
2011-01-22	80	"NO"
2011-01-23	78	"NO"
2011-01-24	79	"NO"
2011-01-25	81	"NO"
2011-01-26	81	"NO"
2011-01-27	82	"NO"
2011-01-28	82	"NO"
2011-01-29	80	"NO"
2011-01-30	83	"NO"
2011-01-31	87	"NO"
2011-02-01	84	"NO"
2011-02-02	81	"NO"
2011-02-03	84	"NO"
2011-02-04	79	"NO"
2011-02-05	79	"NO"
2011-02-06	84	"NO"
2011-02-07	81	"NO"
2011-02-08	79	"NO"
2011-02-09	77	"NO"
2011-02-10	78	"NO"
2011-02-11	74	"NO"
2011-02-12	77	"NO"
2011-02-13	77	"NO"
2011-02-14	82.7768665216166	"SI"
2011-02-15	81	"NO"
2011-02-16	82	"NO"
2011-02-17	81	"NO"
2011-02-18	76	"NO"
2011-02-19	83.0440109379668	"SI"
2011-02-20	83.0221195279386	"SI"
2011-02-21	81.3680302294332	"SI"
2011-02-22	81.5336916308403	"SI"
2011-02-23	81.3661908925993	"SI"
2011-02-24	81.6237728196821	"SI"
2011-02-25	84.0607148706186	"SI"
2011-02-26	83.3601766586527	"SI"
2011-02-27	84.7171735747958	"SI"
2011-02-28	82.4636554526152	"SI"
2011-03-01	80	"NO"
2011-03-02	90.7339129313739	"SI"
2011-03-03	81	"NO"
2011-03-04	82	"NO"
2011-03-05	75	"NO"
2011-03-06	76	"NO"
2011-03-07	77	"NO"
2011-03-08	79	"NO"
2011-03-09	74	"NO"
2011-03-10	74	"NO"
2011-03-11	73	"NO"
2011-03-12	70	"NO"
2011-03-13	73	"NO"
2011-03-14	77	"NO"
2011-03-15	79	"NO"
2011-03-16	80	"NO"
2011-03-17	78	"NO"
2011-03-18	81	"NO"
2011-03-19	80	"NO"
2011-03-20	78	"NO"
2011-03-21	77	"NO"
2011-03-22	82	"NO"
2011-03-23	81	"NO"
2011-03-24	78	"NO"
2011-03-25	82	"NO"
2011-03-26	84	"NO"
2011-03-27	86	"NO"
2011-03-28	80	"NO"
2011-03-29	81	"NO"
2011-03-30	79	"NO"
2011-03-31	81.6416700760836	"SI"
2011-04-01	80	"NO"
2011-04-02	76	"NO"
2011-04-03	73	"NO"
2011-04-04	80	"NO"
2011-04-05	82	"NO"
2011-04-06	82	"NO"
2011-04-07	83	"NO"
2011-04-08	83	"NO"
2011-04-09	85	"NO"
2011-04-10	85	"NO"
2011-04-11	79	"NO"
2011-04-12	77	"NO"
2011-04-13	79	"NO"
