"Dates"	"Value"	"Modif"
2011-01-01	434.288976135766	"NO"
2011-01-02	441.315630899434	"NO"
2011-01-03	329.252257375666	"NO"
2011-01-04	283.243712848154	"NO"
2011-01-05	515.703222309487	"NO"
2011-01-06	443.286742081173	"NO"
2011-01-07	247.760444949287	"NO"
2011-01-08	271.404914943556	"NO"
2011-01-09	365.09330329716	"NO"
2011-01-10	308.914554998609	"NO"
2011-01-11	379.552884434419	"NO"
2011-01-12	530.702410975692	"NO"
2011-01-13	511.440353841382	"NO"
2011-01-14	398.189811228333	"NO"
2011-01-15	452.648610810516	"NO"
2011-01-16	423.145928698041	"NO"
2011-01-17	359.849393262848	"NO"
2011-01-18	448.336149322431	"NO"
2011-01-19	391.667980032791	"NO"
2011-01-20	494.100044426732	"NO"
2011-01-21	447.530053326279	"NO"
2011-01-22	509.643661517449	"NO"
2011-01-23	479.999492251766	"NO"
2011-01-24	498.050984385645	"NO"
2011-01-25	505.922254967715	"NO"
2011-01-26	482.994658961471	"NO"
2011-01-27	459.989016831643	"NO"
2011-01-28	430.022693476569	"NO"
2011-01-29	482.668990577633	"NO"
2011-01-30	521.715719317114	"NO"
2011-01-31	467.490761215651	"NO"
2011-02-01	524.010996090135	"NO"
2011-02-02	535.595162750017	"NO"
2011-02-03	522.859067621159	"NO"
2011-02-04	492.630987832472	"NO"
2011-02-05	532.19094840871	"NO"
2011-02-06	519.372109761274	"NO"
2011-02-07	517.028665243884	"NO"
2011-02-08	465.438981250458	"NO"
2011-02-09	498.209059936855	"NO"
2011-02-10	513.451996079703	"NO"
2011-02-11	518.13647521804	"NO"
2011-02-12	398.761341620219	"NO"
2011-02-13	431.639109092361	"NO"
2011-02-14	418.37426448767	"NO"
2011-02-15	298.079474402642	"NO"
2011-02-16	345.223844058601	"NO"
2011-02-17	303.058467471683	"NO"
2011-02-18	443.612471966432	"NO"
2011-02-19	523.603951220115	"NO"
2011-02-20	517.495104541878	"NO"
2011-02-21	547.405115101945	"NO"
2011-02-22	490.717686928686	"NO"
2011-02-23	441.052573585267	"NO"
2011-02-24	242.602811758469	"NO"
2011-02-25	493.64746993045	"NO"
2011-02-26	440.050615780456	"NO"
2011-02-27	422.685573462944	"NO"
2011-02-28	449.023067837074	"NO"
2011-03-01	226.996504787735	"NO"
2011-03-02	275.042034532854	"NO"
2011-03-03	268.256386869895	"NO"
2011-03-04	455.902048180076	"NO"
2011-03-05	416.251702926229	"NO"
2011-03-06	450.053938000837	"NO"
2011-03-07	395.518882666534	"NO"
2011-03-08	440.404522506854	"NO"
2011-03-09	463.222455184098	"NO"
2011-03-10	393.66126605228	"NO"
2011-03-11	531.144962637095	"NO"
2011-03-12	535.542804788917	"NO"
2011-03-13	513.968745655179	"NO"
2011-03-14	566.548394179173	"NO"
2011-03-15	463.194135367694	"NO"
2011-03-16	478.594706044905	"NO"
2011-03-17	512.594852936967	"NO"
2011-03-18	349.313366536349	"NO"
2011-03-19	353.423125580326	"NO"
2011-03-20	294.153283292103	"NO"
2011-03-21	223.611132723288	"NO"
2011-03-22	406.711791087102	"NO"
2011-03-23	224.13319042838	"NO"
2011-03-24	399.893221240046	"NO"
2011-03-25	314.263436899249	"NO"
2011-03-26	336.928297143148	"NO"
2011-03-27	318.473553181998	"NO"
2011-03-28	311.208944570923	"NO"
2011-03-29	262.80024012267	"NO"
2011-03-30	341.49179831415	"NO"
2011-03-31	356.609344556019	"NO"
2011-04-01	356.752492519439	"NO"
2011-04-02	379.308403316343	"NO"
2011-04-03	356.983225324257	"NO"
2011-04-04	428.08089143757	"NO"
2011-04-05	319.776091725427	"NO"
2011-04-06	521.551353345398	"NO"
2011-04-07	316.150988118125	"NO"
2011-04-08	353.511037218689	"NO"
2011-04-09	409.480022462333	"NO"
2011-04-10	346.037851472814	"NO"
2011-04-11	278.914538553767	"NO"
2011-04-12	323.613227706643	"NO"
2011-04-13	390.584657981337	"NO"
2011-04-14	461.176512962033	"NO"
2011-04-15	319.71466600402	"NO"
2011-04-16	241.602729441828	"NO"
2011-04-17	312.106100147631	"NO"
2011-04-18	378.777272898717	"NO"
2011-04-19	419.378236450152	"NO"
2011-04-20	467.301406927693	"NO"
2011-04-21	511.42287612258	"NO"
2011-04-22	514.782239564853	"NO"
2011-04-23	411.017497094426	"NO"
2011-04-24	440.262636130635	"NO"
2011-04-25	355.178681387378	"NO"
2011-04-26	281.30509458467	"NO"
2011-04-27	343.661530861161	"NO"
2011-04-28	317.700467522892	"NO"
2011-04-29	460.597864622247	"NO"
2011-04-30	405.219734105008	"NO"
2011-05-01	276.731355626788	"NO"
2011-05-02	422.816855125253	"NO"
2011-05-03	323.815272984984	"NO"
2011-05-04	345.439548981004	"NO"
2011-05-05	315.990222820421	"NO"
2011-05-06	501.337120587001	"NO"
2011-05-07	290.006700855404	"NO"
2011-05-08	231.675015706169	"NO"
2011-05-09	372.914110167578	"NO"
2011-05-10	394.289339675216	"NO"
2011-05-11	263.696581702624	"NO"
2011-05-12	245.412600788347	"NO"
2011-05-13	223.564399714627	"NO"
2011-05-14	472.023989543075	"NO"
2011-05-15	467.940248896028	"NO"
2011-05-16	255.387320781145	"NO"
2011-05-17	337.742080005242	"NO"
2011-05-18	423.481492511848	"NO"
2011-05-19	466.03852158494	"NO"
2011-05-20	569.306127755079	"NO"
2011-05-21	525.84720437291	"NO"
2011-05-22	318.337214927525	"NO"
2011-05-23	556.879616374985	"NO"
2011-05-24	460.196391127049	"NO"
2011-05-25	306.831123133173	"NO"
2011-05-26	519.733623313595	"NO"
2011-05-27	384.394304595936	"NO"
2011-05-28	245.801674740126	"NO"
2011-05-29	518.321337033268	"NO"
2011-05-30	386.964552931087	"NO"
2011-05-31	294.753510217715	"NO"
