"Dates"	"Value"	"Modif"
2011-01-01	33	"NO"
2011-01-02	33.2	"NO"
2011-01-03	31.4	"NO"
2011-01-04	31.6	"NO"
2011-01-05	33	"NO"
2011-01-06	32.8	"NO"
2011-01-07	31.4	"NO"
2011-01-08	30.6	"NO"
2011-01-09	32	"NO"
2011-01-10	32.8	"NO"
2011-01-11	33.2	"NO"
2011-01-12	33.2	"NO"
2011-01-13	33.2	"NO"
2011-01-14	33	"NO"
2011-01-15	33.2	"NO"
2011-01-16	33.1	"NO"
2011-01-17	32.6	"NO"
2011-01-18	33.4	"NO"
2011-01-19	32.4	"NO"
2011-01-20	32.6	"NO"
2011-01-21	33	"NO"
2011-01-22	33.2	"NO"
2011-01-23	32.4	"NO"
2011-01-24	33	"NO"
2011-01-25	33.6	"NO"
2011-01-26	34	"NO"
2011-01-27	33.4	"NO"
2011-01-28	32.6	"NO"
2011-01-29	33.8	"NO"
2011-01-30	34	"NO"
2011-01-31	34	"NO"
2011-02-01	34.2	"NO"
2011-02-02	34.4	"NO"
2011-02-03	34.6	"NO"
2011-02-04	34.8	"NO"
2011-02-05	34	"NO"
2011-02-06	33.8	"NO"
2011-02-07	33.8	"NO"
2011-02-08	33.5	"NO"
2011-02-09	34.4	"NO"
2011-02-10	34	"NO"
2011-02-11	33.6	"NO"
2011-02-12	33.4	"NO"
2011-02-13	33.4	"NO"
2011-02-14	33.8	"NO"
2011-02-15	33	"NO"
2011-02-16	33.4	"NO"
2011-02-17	32.2	"NO"
2011-02-18	33.4	"NO"
2011-02-19	32.4	"NO"
2011-02-20	33.6	"NO"
2011-02-21	34	"NO"
2011-02-22	33.4	"NO"
2011-02-23	33.7	"NO"
2011-02-24	33	"NO"
2011-02-25	34.6	"NO"
2011-02-26	34	"NO"
2011-02-27	33.8	"NO"
2011-02-28	34.4	"NO"
2011-03-01	30.1	"NO"
2011-03-02	30.2	"NO"
2011-03-03	29.8	"NO"
2011-03-04	32.6	"NO"
2011-03-05	32.6	"NO"
2011-03-06	32.6	"NO"
2011-03-07	32.8	"NO"
2011-03-08	34	"NO"
2011-03-09	32.8	"NO"
2011-03-10	31.2	"NO"
2011-03-11	32.4	"NO"
2011-03-12	32.4	"NO"
2011-03-13	32.4	"NO"
2011-03-14	34	"NO"
2011-03-15	33.6	"NO"
2011-03-16	34.2	"NO"
2011-03-17	34.4	"NO"
2011-03-18	33.6	"NO"
2011-03-19	33	"NO"
2011-03-20	32.6	"NO"
2011-03-21	29.6	"NO"
2011-03-22	32.2	"NO"
2011-03-23	32.8	"NO"
2011-03-24	33	"NO"
2011-03-25	32.6	"NO"
2011-03-26	33.6	"NO"
2011-03-27	32.8	"NO"
2011-03-28	33.2	"NO"
2011-03-29	32.2	"NO"
2011-03-30	33.8	"NO"
2011-03-31	33.2	"NO"
2011-04-01	33.5	"NO"
2011-04-02	33.8	"NO"
2011-04-03	34.2	"NO"
2011-04-04	34.5	"NO"
2011-04-05	34	"NO"
2011-04-06	33.6	"NO"
2011-04-07	32.8	"NO"
2011-04-08	33.4	"NO"
2011-04-09	33.8	"NO"
2011-04-10	32.5	"NO"
