"Dates"	"Value"	"Modif"
2011-01-01	24.1	"NO"
2011-01-02	23.7	"NO"
2011-01-03	23.8	"NO"
2011-01-04	22	"NO"
2011-01-05	21.9	"NO"
2011-01-06	22.7	"NO"
2011-01-07	23.1	"NO"
2011-01-08	23.3	"NO"
2011-01-09	24.3	"NO"
2011-01-10	24.7	"NO"
2011-01-11	24.5	"NO"
2011-01-12	23.7	"NO"
2011-01-13	23.8	"NO"
2011-01-14	24.2	"NO"
2011-01-15	24.1	"NO"
2011-01-16	24.4	"NO"
2011-01-17	24.3	"NO"
2011-01-18	23.5	"NO"
2011-01-19	23.6	"NO"
2011-01-20	23.2	"NO"
2011-01-21	23.1	"NO"
2011-01-22	23	"NO"
2011-01-23	22.2	"NO"
2011-01-24	23.9	"NO"
2011-01-25	23.4	"NO"
2011-01-26	22.7	"NO"
2011-01-27	23.1	"NO"
2011-01-28	22.8	"NO"
2011-01-29	22.7	"NO"
2011-01-30	23.5	"NO"
2011-01-31	23.6	"NO"
2011-02-01	22.8	"NO"
2011-02-02	23.4	"NO"
2011-02-03	23.3	"NO"
2011-02-04	22.9	"NO"
2011-02-05	23	"NO"
2011-02-06	21.8	"NO"
2011-02-07	22.5	"NO"
2011-02-08	23.1	"NO"
2011-02-09	23.2	"NO"
2011-02-10	23.3	"NO"
2011-02-11	23.1	"NO"
2011-02-12	23	"NO"
2011-02-13	23.6	"NO"
2011-02-14	23.7	"NO"
2011-02-15	24.3	"NO"
2011-02-16	24.4	"NO"
2011-02-17	23	"NO"
2011-02-18	22.8	"NO"
2011-02-19	23.3	"NO"
2011-02-20	22.9	"NO"
2011-02-21	22.3	"NO"
2011-02-22	22.4	"NO"
2011-02-23	23	"NO"
2011-02-24	23.6	"NO"
2011-02-25	24.2	"NO"
2011-02-26	24.3	"NO"
2011-02-27	23.9	"NO"
2011-02-28	24.1	"NO"
2011-03-01	21.7	"NO"
2011-03-02	22.5	"NO"
2011-03-03	23.1	"NO"
2011-03-04	22.7	"NO"
2011-03-05	22.9	"NO"
2011-03-06	23.7	"NO"
2011-03-07	23.1	"NO"
2011-03-08	23.6	"NO"
2011-03-09	23.9	"NO"
2011-03-10	24.4	"NO"
2011-03-11	22.2	"NO"
2011-03-12	21.2	"NO"
2011-03-13	20.4	"NO"
2011-03-14	21.7	"NO"
2011-03-15	22.5	"NO"
2011-03-16	22.6	"NO"
2011-03-17	23.1	"NO"
2011-03-18	24.1	"NO"
2011-03-19	23.7	"NO"
2011-03-20	23	"NO"
2011-03-21	23.6	"NO"
2011-03-22	23.6	"NO"
2011-03-23	21.5	"NO"
2011-03-24	23.6	"NO"
2011-03-25	23.9	"NO"
2011-03-26	24.6	"NO"
2011-03-27	23.7	"NO"
2011-03-28	23.9	"NO"
2011-03-29	24.8	"NO"
