"Dates"	"Value"	"Modif"
2011-01-01	398.098452876418	"SI"
2011-01-02	415.111843507482	"SI"
2011-01-03	390.121327982589	"SI"
2011-01-04	338.858389758268	"SI"
2011-01-05	320.828470800788	"SI"
2011-01-06	385.135767507706	"SI"
2011-01-07	394.402344206332	"SI"
2011-01-08	396.059497854483	"SI"
2011-01-09	381.178895713418	"SI"
2011-01-10	345.176050992762	"SI"
2011-01-11	403.1090934526	"SI"
2011-01-12	382.557618068724	"SI"
2011-01-13	302.319172505127	"SI"
2011-01-14	413.399857965898	"SI"
2011-01-15	403.1090934526	"SI"
2011-01-16	405.990337167149	"SI"
2011-01-17	396.154035789997	"SI"
2011-01-18	430.578954545455	"SI"
2011-01-19	409.249049085783	"SI"
2011-01-20	381.651175891394	"SI"
2011-01-21	388.335454562483	"SI"
2011-01-22	421.26493636025	"SI"
2011-01-23	353.246953253684	"SI"
2011-01-24	396.684016281	"SI"
2011-01-25	390.907270205572	"SI"
2011-01-26	419.792157380465	"SI"
2011-01-27	415.533725577946	"SI"
2011-01-28	376.405698174732	"SI"
2011-01-29	399.085396360218	"SI"
2011-01-30	363.535018936527	"SI"
2011-01-31	333.985142202466	"SI"
2011-02-01	407.642065879027	"SI"
2011-02-02	407.053008297029	"SI"
2011-02-03	314.212782863667	"SI"
2011-02-04	384.339361554416	"SI"
2011-02-05	399.079067814831	"SI"
2011-02-06	424.345286867737	"SI"
2011-02-07	428.567863892686	"SI"
2011-02-08	439.455676237339	"SI"
2011-02-09	397.019528349691	"SI"
2011-02-10	433.225174365108	"SI"
2011-02-11	374.243412548128	"SI"
2011-02-12	413.568538864018	"SI"
2011-02-13	375.250705998487	"SI"
2011-02-14	362.404099229984	"SI"
2011-02-15	353.072733785951	"SI"
2011-02-16	338.657989789815	"SI"
2011-02-17	295.226766890406	"SI"
2011-02-18	299.244594517026	"SI"
2011-02-19	281.318234473362	"SI"
2011-02-20	324.121879455772	"SI"
2011-02-21	385.624161955167	"SI"
2011-02-22	368.174316094188	"SI"
2011-02-23	418.954605995231	"SI"
2011-02-24	391.558418042484	"SI"
2011-02-25	344.219420539986	"SI"
2011-02-26	370.404367611877	"SI"
2011-02-27	422.250597258022	"SI"
2011-02-28	378.557803767739	"SI"
2011-03-01	336.367815821141	"SI"
2011-03-02	267.681666182502	"SI"
2011-03-03	329.00620142985	"SI"
2011-03-04	235.106903366371	"SI"
2011-03-05	377.44510218779	"SI"
2011-03-06	316.139690058147	"SI"
2011-03-07	241.753357100137	"SI"
2011-03-08	356.262176031505	"SI"
2011-03-09	371.955565070233	"SI"
2011-03-10	372.817642107295	"SI"
2011-03-11	391.02158088839	"SI"
2011-03-12	437.489355092277	"SI"
2011-03-13	376.654432245166	"SI"
2011-03-14	386.087231092173	"SI"
2011-03-15	360.48026245012	"SI"
2011-03-16	310.934905436669	"SI"
2011-03-17	230.867612824675	"SI"
2011-03-18	431.866129870131	"SI"
2011-03-19	329.180815736894	"SI"
2011-03-20	309.877064593301	"SI"
2011-03-21	356.697127210873	"SI"
2011-03-22	412.195283500142	"SI"
2011-03-23	424.549859236159	"SI"
2011-03-24	443.964734748804	"SI"
2011-03-25	484.302195574162	"SI"
2011-03-26	427.006980303251	"SI"
2011-03-27	471.493144736842	"SI"
2011-03-28	359.220742279386	"SI"
2011-03-29	437.13086521702	"SI"
2011-03-30	401.442651124201	"SI"
2011-03-31	436.137969540328	"SI"
2011-04-01	414.888025313502	"SI"
2011-04-02	409.958087961381	"SI"
