ID_EVENTO,FECHA_SIEMBRA,FECHA_EMERGENCIA,FECHA_FLORACION,FECHA_COSECHA,PROD_COSECHADO
537,10/1/2013,10/6/2013,11/23/2013,2/3/2014,Grano seco
543,8/25/2013,8/30/2013,11/17/2013,1/15/2014,Grano seco
53,5/13/2013,5/18/2013,7/20/2013,9/26/2013,Grano seco
54,5/2/2013,5/7/2013,7/10/2013,9/11/2013,Grano seco
56,5/12/2013,5/17/2013,7/15/2013,9/19/2013,Grano seco
57,5/7/2013,5/12/2013,7/15/2013,9/12/2013,Grano seco
273,5/7/2013,5/12/2013,7/14/2013,9/12/2013,Grano seco
282,5/8/2013,5/14/2013,7/25/2013,9/18/2013,Grano seco
283,5/2/2013,5/7/2013,6/23/2013,9/17/2013,Grano seco
284,5/9/2013,5/14/2013,6/25/2013,9/22/2013,Grano seco
286,5/3/2013,5/9/2013,6/20/2013,9/14/2013,Grano seco
287,5/26/2013,5/31/2013,7/26/2013,10/5/2013,Grano seco
288,5/1/2013,5/7/2013,7/2/2013,9/12/2013,Grano seco
289,5/1/2013,5/6/2013,6/18/2013,9/11/2013,Grano seco
290,5/10/2013,5/15/2013,7/12/2013,9/21/2013,Grano seco
291,5/20/2013,5/25/2013,7/23/2013,9/30/2013,Grano seco
293,5/20/2013,10/24/2013,7/23/2013,9/24/2013,Grano seco
294,5/13/2013,5/18/2013,7/25/2013,9/17/2013,Grano seco
295,5/15/2013,5/21/2013,7/25/2013,10/3/2013,Grano seco
536,9/26/2013,10/1/2013,11/17/2013,2/3/2014,Grano seco
539,10/1/2013,10/6/2013,11/25/2013,2/3/2014,Grano seco
540,9/22/2013,9/28/2013,11/14/2013,2/10/2014,Grano seco
548,10/1/2013,10/7/2013,11/21/2013,1/30/2014,Grano seco
549,8/25/2013,8/30/2013,10/15/2013,1/15/2014,Grano seco
559,10/6/2013,10/11/2013,11/23/2013,2/10/2014,Grano seco
560,9/14/2013,9/19/2013,10/31/2013,1/10/2014,Grano seco
617,10/7/2013,10/12/2013,11/24/2013,2/10/2014,Grano seco
618,10/9/2013,10/14/2013,11/28/2013,3/10/2014,Grano seco
3277,10/17/2015,10/21/2015,12/5/2015,2/23/2016,Grano seco
766,5/10/2014,5/15/2014,6/28/2014,9/9/2014,Grano seco
781,5/20/2014,5/26/2014,7/8/2014,9/25/2014,Grano seco
783,5/5/2014,5/11/2014,6/22/2014,9/7/2014,Grano seco
784,5/13/2014,5/19/2014,6/28/2014,9/17/2014,Grano seco
788,5/17/2014,5/23/2014,6/30/2014,9/20/2014,Grano seco
791,11/2/2013,11/8/2013,12/20/2013,3/13/2014,Grano seco
